"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяет отсутствие получения информации о заказе,если не передан его трек, код ответа 400, message ответа корректен","420","Проверка невозможности получения информации о заказе без трека","tests","2026-03-26","passed","2026-03-26","TestGetOrderTrack","test_get_order_track","",""
"Параметризованный тест, проверяет получение списка заказов, получение 10 заказов для взятия курьером, список заказов по одной станции метро. Проверяем, что код ответа 200, заказы содержится в ответе","15010","Проверка получения списка заказов без id курьера","tests","2026-03-26","passed","2026-03-26","TestOrderList","test_get_order_list","",""
"Параметризованный тест, проверяет создание заказа черного или серого цвета, двух цветов, без выбора цвета самоката. Проверяем, что код ответа 201, track заказа содержится в ответе","491","Проверка успешного создания заказа","tests","2026-03-26","passed","2026-03-26","TestCreateOrder","test_create_order","",""
"Параметризованный тест, проверяет получение списка заказов, получение 10 заказов для взятия курьером, список заказов по одной станции метро. Проверяем, что код ответа 200, заказы содержится в ответе","1706","Проверка получения списка заказов без id курьера","tests","2026-03-26","passed","2026-03-26","TestOrderList","test_get_order_list","",""
"Проверяем, что курьер создан, код ответа 201, структура ответа корректна","412","Проверка успешного создания курьера","tests","2026-03-26","passed","2026-03-26","TestRegistrationNewCourier","test_registration_new_courier","",""
"Проверяет невозможность принятия несуществующего заказа курьером, код ответа 404, message ответа корректен","399","Проверка неуспешного принятия несуществующего заказа курьером","tests","2026-03-26","passed","2026-03-26","TestAcceptOrder","test_accept_order","",""
"Параметризованный тест, проверяет логин курьера c ошибкой логина(несуществующий пользователь) и пароля, код ответа 404, message ответа корректен","413","Проверка неуспешного логина курьера с ошибкой в  login или пароле","tests","2026-03-26","passed","2026-03-26","TestLoginCourier","test_login_courier","",""
"Проверяет невозможность принятия заказа несуществующим курьером, код ответа 404, message ответа корректен","454","Проверка неуспешного принятия заказа несуществующим курьером","tests","2026-03-26","passed","2026-03-26","TestAcceptOrder","test_accept_order","",""
"Параметризованный тест, проверяет создание заказа черного или серого цвета, двух цветов, без выбора цвета самоката. Проверяем, что код ответа 201, track заказа содержится в ответе","438","Проверка успешного создания заказа","tests","2026-03-26","passed","2026-03-26","TestCreateOrder","test_create_order","",""
"Проверяет невозможность принятия заказа курьером, если его id не передан, код ответа 400, message ответа корректен","404","Проверка неуспешного принятия заказа при отсутсвии переданного id курьера","tests","2026-03-26","passed","2026-03-26","TestAcceptOrder","test_accept_order","",""
"Проверяет отсутствие получения информации о заказе,если передан несуществующий трек, код ответа 404, message ответа корректен","436","Проверка невозможности получения информации о заказе с несуществующим треком","tests","2026-03-26","passed","2026-03-26","TestGetOrderTrack","test_get_order_track","",""
"Параметризованный тест, проверяет получение списка заказов курьера, список заказов курьера по станции метро. Проверяем, что код ответа 200, заказы содержится в ответе","1885","Проверка получения списка заказов по id курьера","tests","2026-03-26","passed","2026-03-26","TestOrderList","test_get_order_list","",""
"Параметризованный тест, проверяет логин курьера без login или без пароля, код ответа 400, message ответа корректен","398","Проверка неуспешного логина курьера без login или без пароля","tests","2026-03-26","passed","2026-03-26","TestLoginCourier","test_login_courier","",""
